serial,firstoccurrence,lastoccurrence,deletedat,zprocessstate,zticketstate,zhnotifystate,zgenericactionstate,originalseverity,mins,zprocessstate_t,zhnotifystate_t,zgenericactionstate_t,zticketstate_t,live_range,Cluster,zprocessstate_s,zhnotifystate_s,zgenericactionstate_s,zticketstate_s,ProblematicArea
65881230,2020-07-27-00.43.51.000000,2020-07-27 00:43:51.000,2020-07-27 02:20:55.720,12.0,1,0,312,4,97.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881231,2020-07-27-00.43.51.000000,2020-07-27 00:43:51.000,2020-07-27 01:22:54.716,12.0,1,0,312,4,39.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,30-60 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881232,2020-07-27-00.43.51.000000,2020-07-27 00:43:51.000,2020-07-27 02:20:55.720,12.0,1,0,312,4,97.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881234,2020-07-27-00.43.51.000000,2020-07-27 00:43:51.000,2020-07-27 02:20:55.723,12.0,1,0,312,4,97.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881236,2020-07-27-00.43.51.000000,2020-07-27 00:43:51.000,2020-07-27 02:20:55.721,12.0,1,0,312,4,97.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881238,2020-07-27-00.43.51.000000,2020-07-27 00:43:51.000,2020-07-27 02:20:55.723,12.0,1,0,312,4,97.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881240,2020-07-27-00.43.51.000000,2020-07-27 00:43:51.000,2020-07-27 02:20:55.720,12.0,1,0,312,4,97.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881241,2020-07-27-00.43.51.000000,2020-07-27 00:43:51.000,2020-07-27 01:22:54.716,12.0,1,0,312,4,39.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,30-60 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881242,2020-07-27-00.43.51.000000,2020-07-27 00:43:51.000,2020-07-27 02:20:55.719,12.0,1,0,312,4,97.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881243,2020-07-27-00.43.51.000000,2020-07-27 00:43:51.000,2020-07-27 02:35:55.919,12.0,1,0,312,4,112.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881229,2020-07-27-00.43.50.000000,2020-07-27 00:43:50.000,2020-07-27 01:22:54.715,12.0,1,0,312,4,39.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,30-60 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881344,2020-07-27-00.48.18.000000,2020-07-27 00:48:18.000,2020-07-27 01:22:54.716,12.0,1,0,312,4,34.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,30-60 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881345,2020-07-27-00.48.18.000000,2020-07-27 00:48:18.000,2020-07-27 02:20:55.721,12.0,1,0,312,4,92.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881363,2020-07-27-00.48.50.000000,2020-07-27 00:48:50.000,2020-07-27 02:35:55.918,12.0,1,0,312,4,107.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881364,2020-07-27-00.48.50.000000,2020-07-27 00:48:50.000,2020-07-27 02:35:55.917,12.0,1,0,312,4,107.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881366,2020-07-27-00.48.50.000000,2020-07-27 00:48:50.000,2020-07-27 02:35:55.918,12.0,1,0,312,4,107.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881367,2020-07-27-00.48.50.000000,2020-07-27 00:48:50.000,2020-07-27 02:35:55.917,12.0,1,0,312,4,107.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881369,2020-07-27-00.48.50.000000,2020-07-27 00:48:50.000,2020-07-27 02:35:55.919,12.0,1,0,312,4,107.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881433,2020-07-27-00.53.18.000000,2020-07-27 00:53:18.000,2020-07-27 02:35:55.916,12.0,1,0,312,4,102.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65881897,2020-07-27-01.13.46.000000,2020-07-27 01:13:46.000,2020-07-27 01:21:54.840,2.0,11,6,311,4,8.0,AutomationFilter Processed,SheduledWait ZHNotifyTime to expire,Final Response Successfully RESOLVED,Successfully Completed Final,Less than 30 mins,10,neutral,neutral,Positive,Positive,n-notification:n-enrichment:
65882013,2020-07-27-01.18.50.000000,2020-07-27 01:18:50.000,2020-07-27 02:27:55.795,12.0,1,0,312,4,69.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65882093,2020-07-27-01.23.50.000000,2020-07-27 01:23:50.000,2020-07-27 02:02:55.389,12.0,1,0,312,4,39.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,30-60 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65882095,2020-07-27-01.23.50.000000,2020-07-27 01:23:50.000,2020-07-27 02:02:55.390,12.0,1,0,312,4,39.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,30-60 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65883002,2020-07-27-02.23.18.000000,2020-07-27 02:23:18.000,2020-07-27 04:55:57.850,12.0,1,0,312,4,152.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65883011,2020-07-27-02.23.50.000000,2020-07-27 02:23:50.000,2020-07-27 03:42:56.907,12.0,1,0,312,4,79.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65883012,2020-07-27-02.23.50.000000,2020-07-27 02:23:50.000,2020-07-27 03:42:56.907,12.0,1,0,312,4,79.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65883081,2020-07-27-02.28.50.000000,2020-07-27 02:28:50.000,2020-07-27 04:55:57.850,12.0,1,0,312,4,147.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65883082,2020-07-27-02.28.50.000000,2020-07-27 02:28:50.000,2020-07-27 03:42:56.907,12.0,1,0,312,4,74.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65883083,2020-07-27-02.28.50.000000,2020-07-27 02:28:50.000,2020-07-27 04:55:57.851,12.0,1,0,312,4,147.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65883086,2020-07-27-02.28.50.000000,2020-07-27 02:28:50.000,2020-07-27 03:42:56.907,12.0,1,0,312,4,74.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65883084,2020-07-27-02.28.50.000000,2020-07-27 02:28:50.000,2020-07-27 03:42:56.907,12.0,1,0,312,4,74.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65883085,2020-07-27-02.28.50.000000,2020-07-27 02:28:50.000,2020-07-27 04:55:57.850,12.0,1,0,312,4,147.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65904784,2020-07-28-04.05.26.000000,2020-07-28 04:25:36.000,2020-07-28 04:30:19.888,12.0,1,0,312,3,4.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,Less than 30 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65884072,2020-07-27-03.26.17.000000,2020-07-27 03:26:17.000,2020-07-31 12:18:33.741,12.0,1,0,312,4,6292.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65904852,2020-07-28-04.08.55.000000,2020-07-28 04:08:55.000,2020-07-28 05:33:20.677,12.0,1,0,312,4,84.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65904850,2020-07-28-04.08.54.000000,2020-07-28 04:08:54.000,2020-07-28 05:33:20.677,12.0,1,0,312,4,84.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65884895,2020-07-27-04.01.04.000000,2020-07-27 04:01:04.000,2020-07-27 04:27:57.477,12.0,1,0,312,4,26.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,Less than 30 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65885173,2020-07-27-04.32.33.000000,2020-07-27 04:32:33.000,2020-07-27 05:47:58.640,2.0,3,1,312,4,75.0,AutomationFilter Processed,Required,Final Response Successfully ESCALATED,Completed Successfully,60-120 mins,-1,neutral,neutral,Positive,Positive,n-notification:n-enrichment:
65885751,2020-07-27-05.13.50.000000,2020-07-27 05:13:50.000,2020-07-27 05:47:58.643,12.0,1,0,312,4,34.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,30-60 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65885753,2020-07-27-05.13.50.000000,2020-07-27 05:13:50.000,2020-07-27 05:47:58.643,12.0,1,0,312,4,34.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,30-60 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65885752,2020-07-27-05.13.50.000000,2020-07-27 05:13:50.000,2020-07-27 07:00:59.661,12.0,1,0,312,4,107.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65885809,2020-07-27-05.18.18.000000,2020-07-27 05:18:18.000,2020-07-27 07:00:59.661,12.0,1,0,312,4,102.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65885823,2020-07-27-05.18.50.000000,2020-07-27 05:18:50.000,2020-07-27 05:47:58.644,12.0,1,0,312,4,29.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,Less than 30 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65885822,2020-07-27-05.18.50.000000,2020-07-27 05:18:50.000,2020-07-27 07:00:59.660,12.0,1,0,312,4,102.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65885820,2020-07-27-05.18.50.000000,2020-07-27 05:18:50.000,2020-07-27 05:47:58.643,12.0,1,0,312,4,29.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,Less than 30 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65885819,2020-07-27-05.18.50.000000,2020-07-27 05:18:50.000,2020-07-27 07:00:59.660,12.0,1,0,312,4,102.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65885821,2020-07-27-05.18.50.000000,2020-07-27 05:18:50.000,2020-07-27 07:00:59.661,12.0,1,0,312,4,102.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
